deferment	adjournment
squealer	fink
squealer	snitch
squealer	snitcher
squealer	stoolpigeon
squealer	stoolie
squealer	sneak
squealer	sneaker
squealer	canary
squealer	nark
squealer	supergrass
squealer	grass
squealer	porker
scold	harridan
originality	unconventionality
originality	innovativeness
originality	novelty
originality	freshness
originality	unorthodoxy
originality	heterodoxy
crossbar	doubletree
crossbar	whiffletree
crossbar	whippletree
crossbar	swingletree
pigment	carotenoid
pigment	phycocyanin
pigment	orange
pigment	chlorophyll
pigment	chlorophyl
pigment	phycoerythrin
pigment	alizarin
pigment	alizarine
pigment	bister
pigment	bistre
pigment	lake
pigment	bacteriochlorophyll
pigment	photopigment
pigment	ultramarine
pigment	porphyrin
pigment	titania
pigment	verdigris
pigment	watercolor
pigment	water-color
pigment	watercolour
pigment	water-colour
pigment	phycobilin
pigment	heme
pigment	haem
pigment	hematin
pigment	haemitin
pigment	protoheme
pigment	bole
pigment	ceruse
pigment	retinene
pigment	retinal
pigment	hemosiderin
pigment	haemosiderin
pigment	flavonoid
pigment	sepia
pigment	enamel
pigment	acrylic
pigment	housepaint
pigment	fingerpaint
pigment	encaustic
pigment	semigloss
pigment	distemper
appropriation	pork
appropriation	borrowing
appropriation	adoption
appropriation	seizure
appropriation	sequestration
appropriation	requisition
appropriation	preemption
appropriation	pre-emption
medicament	blocker
medicament	bronchodilator
medicament	vermifuge
medicament	anthelmintic
medicament	anthelminthic
medicament	helminthic
medicament	antibacterial
medicament	bactericide
medicament	allopurinol
medicament	zyloprim
medicament	analgesic
medicament	anodyne
medicament	painkiller
medicament	antihistamine
medicament	acyclovir
medicament	zovirax
medicament	azathioprine
medicament	imuran
medicament	antiprotozoal
medicament	antipyretic
medicament	febrifuge
medicament	demulcent
medicament	diaphoretic
medicament	anticholinesterase
medicament	anticoagulant
medicament	decoagulant
medicament	antiarrhythmic
medicament	counterirritant
medicament	statin
medicament	carminative
medicament	antidepressant
medicament	plavix
medicament	anticholinergic
medicament	prescription
medicament	sedative
medicament	depressant
medicament	downer
medicament	hematinic
medicament	haematinic
medicament	antidiarrheal
medicament	oxytocic
medicament	suppository
medicament	pentylenetetrazol
medicament	pentamethylenetetrazol
medicament	metrazol
medicament	expectorant
medicament	expectorator
medicament	inhalant
medicament	inhalation
medicament	amrinone
medicament	inocor
medicament	antidiuretic
medicament	tonic
medicament	restorative
medicament	paregoric
medicament	powder
medicament	remedy
medicament	curative
medicament	cure
medicament	therapeutic
medicament	anti-inflammatory
medicament	clofibrate
medicament	atromid-s
medicament	specific
medicament	gemfibrozil
medicament	lopid
medicament	alendronate
medicament	fosamax
medicament	dose
medicament	dosage
medicament	penicillamine
medicament	cuprimine
medicament	antiemetic
medicament	apc
medicament	placebo
medicament	tincture
medicament	astringent
medicament	styptic
medicament	rubefacient
medicament	isosorbide
medicament	isordil
medicament	antitussive
medicament	decongestant
medicament	sucralfate
medicament	carafate
medicament	antiviral
medicament	isoproterenol
medicament	isuprel
medicament	sudorific
medicament	sudatory
medicament	probenecid
medicament	haart
medicament	antispasmodic
medicament	spasmolytic
medicament	antidiabetic
medicament	purgative
medicament	cathartic
medicament	physic
medicament	aperient
medicament	pharmaceutical
medicament	pharmaceutic
medicament	antihypertensive
medicament	methacholine
medicament	mecholyl
medicament	vermicide
medicament	drixoral
medicament	immunosuppressant
medicament	immunosuppressor
medicament	immunosuppressive
medicament	anticonvulsant
medicament	antiepileptic
medicament	disulfiram
medicament	antabuse
medicament	antiseptic
bringing	consignment
bringing	airdrop
bringing	service
bringing	serving
bringing	post
bringing	passage
lithiasis	cholelithiasis
lithiasis	nephrolithiasis
lithiasis	enterolithiasis
woods	rainforest
woods	bosk
woods	jungle
woods	grove
woods	sabicu
